sensor_id,rows_total,start_timestamp,end_timestamp,coverage_count_mean,coverage_count_min,coverage_dwell_mean,coverage_dwell_min,imputed_rate_mean,imputed_rate_max,count_null_rate,occupancy_null_rate,count_min,count_max,count_mean,occupancy_ratio_min,occupancy_ratio_max,occupancy_ratio_mean,soft_flag_rate_mean,profile_flag_hard_rate_mean,spike_flag_rate_mean,expected_freq_rate
D111,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.7250001670796292,0.0,0.7250001670796292,0.0,0.07520479779649597,1.0,0.25274394036534836,0.25274394036534836,0.0,73.0,14.159113464505927,0.0,0.882,0.29208636773999613,0.7303449802231404,0.02051403096349203,0.04588299963743592,1.0
D112,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9734698092512611,0.0,0.9734698092512611,0.0,0.11500031175531927,1.0,0.0028420236739615133,0.0028420236739615133,0.0,102.0,19.050796019423064,0.0,0.914,0.2559421578412006,0.6091025601300998,0.0005305384261012347,0.061296108078613715,1.0
D121,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.6098704958572616,0.0,0.6098704958572616,0.0,0.051457150390912705,1.0,0.17622460599217246,0.17622460599217246,0.0,213.0,21.19257553405276,0.0,0.87,0.157343263210474,0.751021693536913,0.003907974313489227,0.04479704311670395,1.0
D122,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.5259570546238828,0.0,0.5259570546238828,0.0,0.08436277708440709,1.0,0.2737385529602021,0.2737385529602021,0.0,202.0,12.50003293959537,0.0,0.83,0.07327021338269973,0.8118402483014535,3.684104762542703e-05,0.06031020754473566,1.0
D21,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.8453570293189677,0.0,0.8453570293189677,0.0,0.15992714532842162,1.0,0.1215563189573505,0.1215563189573505,0.0,67.0,10.02266339869281,0.0,0.894,0.04678982570806365,0.44688126975598635,0.10478571360219989,0.06007011038947437,1.0
D22,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.6834249555984758,0.0,0.6834249555984758,0.0,0.1363826875783515,1.0,0.2494473842856186,0.2494473842856186,0.0,100.0,14.493389430738828,0.0,0.839,0.0421305284630611,0.46180914491854574,0.04377307501919871,0.0525539291117772,1.0
D23,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9053940845321564,0.0,0.9053940845321564,0.0,0.10336351132322513,1.0,0.07382563180004402,0.07382563180004402,0.0,83.0,15.775659172624705,0.0,0.673,0.05660849227177296,0.3969189424043343,0.07157880635005762,0.05138880724772794,1.0
D31,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9211110803532597,0.0,0.9211110803532597,0.0,0.15496610638809546,1.0,0.04378343205458216,0.04378343205458216,0.0,57.0,6.9259963473518305,0.0,0.931,0.17830987716094243,0.7265245138402323,0.0010001098927971733,0.06612935961889521,1.0
D51,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9781975101648545,0.0,0.9781975101648545,0.0,0.10245632995423132,1.0,0.003157804082179459,0.003157804082179459,0.0,63.0,12.41760340971269,0.0,0.893,0.26912535877818267,0.7022264056670585,0.00035597064199114053,0.05790220346070149,1.0
D52,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9612773021325394,0.0,0.9612773021325394,0.0,0.14476207222122875,1.0,0.004071653445355636,0.004071653445355636,0.0,88.0,19.477490331723956,0.0,0.902,0.3114213662895419,0.5227598900099745,0.0094093714025681,0.0810170578379384,1.0
D61,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9309725861898862,0.0,0.9309725861898862,0.0,0.17762356902035434,1.0,0.02583179430255591,0.02583179430255591,0.0,50.5,7.739282048259637,0.0,0.884,0.24082039664648294,0.6672724611536309,0.009949025158995506,0.0885553012148667,1.0
D62,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.5683536350213839,0.0,0.5683536350213839,0.0,0.2271208018787061,1.0,0.3519229113039817,0.3519229113039817,0.0,44.0,2.6975238460856983,0.0,0.761,0.07636735522546848,0.7369259240526469,0.029935914348320734,0.10428156805402838,1.0
D81,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.7209554020548229,0.0,0.7209554020548229,0.0,0.07592712269674333,1.0,0.23796924490206023,0.23796924490206023,0.0,78.0,23.44557007327226,0.0,0.874,0.07529449233687015,0.3793216918356456,0.026034744730495902,0.0341411782968477,1.0
D82,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9444550236196407,0.0,0.9444550236196407,0.0,0.13743343587467508,1.0,0.0033635398026850903,0.0033635398026850903,0.0,103.0,18.867347085735684,0.0,0.825,0.0530139388295001,0.2232814365167997,0.028405271725314922,0.06615578667218021,1.0
D91,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9810719434802782,0.0,0.9810719434802782,0.0,0.09600400892266521,1.0,0.0007846664689051989,0.0007846664689051989,0.0,79.0,15.820737686863753,0.0,0.939,0.3047720573447858,0.686660125121337,0.0012132028107645887,0.058787820171940716,1.0
V113,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9524232349067064,0.0,0.9524232349067064,0.0,0.06887550619418063,1.0,0.001875544242749012,0.001875544242749012,0.0,109.0,13.638945612470879,0.0,0.894,0.19770921414670395,0.5198492213103874,0.012657164926836276,0.07777622469713065,1.0
V114,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9514593717898358,0.0,0.9514593717898358,0.0,0.137148893652218,1.0,0.0018372678296316852,0.0018372678296316852,0.0,95.5,11.604435294456001,0.0,0.913,0.19067265676678954,0.5111096852387508,0.014553299829319796,0.10027391748001022,1.0
V123,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9614397034853185,0.0,0.9614397034853185,0.0,0.11535116178790032,1.0,0.004167344478148953,0.004167344478148953,0.0,58.0,12.384517260431931,0.0,0.845,0.1334485285992345,0.31370695441409974,0.01570077960851311,0.06677626707458295,1.0
V124,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9187961813657725,0.0,0.9187961813657725,0.0,0.2319776989769803,1.0,0.020697970393194452,0.020697970393194452,0.0,118.0,6.788401407074458,0.0,0.825,0.05536133720930434,0.3305207859149679,0.023876336655633105,0.10763113013084968,1.0
V24,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9258460074586777,0.0,0.9258460074586777,0.0,0.19942452665976346,1.0,0.02026736074562453,0.02026736074562453,0.0,43.5,8.267468379157103,0.0,0.815,0.11339480636812782,0.39917846590256006,0.01999459573500208,0.07908243197696527,1.0
V25,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9736697028822894,0.0,0.9736697028822894,0.0,0.10781710679227874,1.0,0.0011435078418801374,0.0011435078418801374,0.0,144.0,16.451867392835073,0.0,0.918,0.20899267365053356,0.33293555292475746,0.00578616335006143,0.06059770593659384,1.0
V26,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9552917862614292,0.0,0.9552917862614292,0.0,0.1530795861560476,1.0,0.01053079815890453,0.01053079815890453,0.0,146.0,10.13858223930756,0.0,0.821,0.16266853799473222,0.4137417278519435,0.00919382545256908,0.06879734902422915,1.0
V32,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9040353667981468,0.0,0.9040353667981468,0.0,0.19501711350582807,1.0,0.04065911983388037,0.04065911983388037,0.0,78.0,5.758451034372693,0.0,0.715,0.11687746124842965,0.4822092788708405,0.014895463622293922,0.08675001203732623,1.0
V53,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.971516683123949,0.0,0.971516683123949,0.0,0.09817445432190398,1.0,0.001033463154167823,0.001033463154167823,0.0,68.0,12.514967191915321,0.0,0.907,0.24891611906700814,0.4928522197053984,0.00789055345718859,0.06749388336842646,1.0
V54,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9653517332759439,0.0,0.9653517332759439,0.0,0.12294722419302494,1.0,0.0019568816206233315,0.0019568816206233315,0.0,66.0,11.134165400269419,0.0,0.868,0.21458824911192664,0.49058351442482606,0.012254279097933998,0.07788535994030156,1.0
V63,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9563506455119527,0.0,0.9563506455119527,0.0,0.14227928673425083,1.0,0.005018994670009474,0.005018994670009474,0.0,82.0,10.647693994431542,0.0,0.953,0.1492259697918376,0.38284858040828906,0.017935841137087256,0.0746584247828217,1.0
V64,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.8789419901972654,0.0,0.8789419901972654,0.0,0.2669742089123525,1.0,0.04710869544414993,0.04710869544414993,0.0,67.0,5.862467362924282,0.0,0.984,0.05784386925085677,0.4067628441288029,0.039836860459232806,0.12078996858753874,1.0
V83,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.978285274410703,0.0,0.978285274410703,0.0,0.08009407415813337,1.0,0.0006028535065978968,0.0006028535065978968,0.0,58.5,12.784933933358866,0.0,0.82,0.23517765224051967,0.4786671271987091,0.005817095856138194,0.05176337878353419,1.0
V84,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9694854985555763,0.0,0.9694854985555763,0.0,0.11530672811248197,1.0,0.0015454101796120686,0.0015454101796120686,0.0,139.0,11.2066579453046,0.0,0.865,0.21217411097214606,0.450023869596467,0.011920617377278729,0.06485308996217522,1.0
V92,209006,2022-01-01 00:00:00+01,2025-12-31 23:50:00+01,0.9520604083060101,0.0,0.9520604083060101,0.0,0.13086178584683764,1.0,0.0014257963886204223,0.0014257963886204223,0.0,80.5,7.537655480384077,0.0,0.916,0.18662394110432193,0.5839836602245716,0.0158769422431702,0.0980505610152641,1.0
